name,price,Actualprice
,,
,,
Samsung Guru 1200,"₹1,100","₹1,260"
Samsung Guru 1200,"₹1,100","₹1,260"
Samsung Guru 1200,"₹1,100","₹1,260"
Samsung Guru 1200,"₹1,100","₹1,260"
Samsung Guru FM Plus,"₹1,375","₹1,500"
Samsung Guru FM Plus SM-B110E/D,"₹1,375","₹1,500"
Samsung Guru FM Plus SM-B110E/D,"₹1,375","₹1,500"
Samsung Guru FM Plus SM-B110E/D,"₹1,375","₹1,500"
Samsung Guru GT,"₹1,399","₹1,410"
Samsung Guru Music 2,"₹1,450",
Samsung Guru FM Plus,"₹1,499",
Samsung Guru FM Plus,"₹1,499",
Samsung Guru FM Plus,"₹1,499",
Samsung Guru Music 2,"₹1,625","₹1,760"
Samsung Guru Music 2,"₹1,625","₹1,760"
Samsung Guru Music 2,"₹1,625",
Samsung Guru Music 2 SM-B310E,"₹1,625",
Samsung Guru Plus B110,"₹1,680",
Samsung Metro 313 Dual Sim,"₹1,990",
Samsung Metro 313,"₹1,999",
Samsung Metro 313 Dual Sim,"₹2,025","₹2,120"
Samsung Metro 313 Dual Sim,"₹2,025","₹2,120"
Samsung Metro 313,"₹2,120",
Samsung Metro 313,"₹2,149",
,,
,,
,,
,,
"Samsung Galaxy A2 Core (Gold, 16 GB)","₹5,390","₹5,900"
"Samsung Galaxy J2 Core (Gold, 8 GB)","₹5,490","₹6,400"
"Samsung Galaxy J2 Core (Black, 8 GB)","₹5,800",
"Samsung Galaxy J2 Core (Blue, 8 GB)","₹5,990",
"Samsung Galaxy J2 2018 (Gold, 16 GB)","₹5,990","₹8,450"
"Samsung Galaxy J2-2017 (Absolute black, 8 GB)","₹6,000",
"Samsung Galaxy J2-2017 (Metallic gold, 8 GB)","₹6,000",
"Samsung Z4 (Gold, 8 GB)","₹6,190","₹6,200"
"Samsung On7 Pro (Gold, 16 GB)","₹6,499",
"Samsung Galaxy J2 2018 (Black, 16 GB)","₹6,799",
"Samsung Galaxy J2 2018 (Pink, 16 GB)","₹6,799",
"Samsung Galaxy J2 (White, 8 GB)","₹6,799",
"Samsung Galaxy Core Prime (White, 8 GB)","₹6,999","₹9,999"
"Samsung Galaxy J4 (Black, 16 GB)","₹7,790","₹9,600"
"Samsung Galaxy A10 (Blue, 32 GB)","₹7,990","₹8,700"
"Samsung Galaxy A10 (Gold, 32 GB)","₹7,990","₹8,700"
"Samsung Galaxy A10 (Black, 32 GB)","₹7,990","₹8,700"
"Samsung Galaxy J4 (Gold, 16 GB)","₹7,990","₹9,600"
"Samsung Galaxy J2 Ace (Gold, 8 GB)","₹8,090",
"Samsung Galaxy J3 Pro (Gold, 16 GB)","₹8,490",
"Samsung Galaxy J4 Plus (Black, 32 GB)","₹8,490","₹9,000"
"Samsung Galaxy J2 - 2016 (Black, 8 GB)","₹8,500","₹10,200"
"Samsung Galaxy J2 - 2016 (Gold, 8 GB)","₹8,500","₹10,200"
"Samsung Galaxy J4 (Blue, 16 GB)","₹8,745",
,,
,,
,,
,,
"Samsung Galaxy J2 Pro (Gold, 16 GB)","₹10,024",
"Samsung Galaxy J2 Pro (Black, 16 GB)","₹10,480",
